gene	chromosome	start	end
DDX11L1	1	11869	14412
WASH7P	1	14363	29806
MIR1302-2HG	1	29554	31109
FAM138A	1	34554	36081
OR4G4P	1	52473	54936
OR4G11P	1	62948	63887
OR4F5	1	69091	70008
CICP27	1	131025	134836
RNU6-1100P	1	157784	157887
CICP7	1	329431	332236
OR4F29	1	367640	368634
WBP1LP7	1	379105	379467
RPL23AP24	1	470971	471355
MTND1P23	1	564442	564813
MTND2P28	1	565020	566063
MTCO1P12	1	566454	567996
MTCO2P12	1	568137	568818
MTATP8P1	1	568915	569121
MTATP6P1	1	569076	569756
MTCO3P12	1	569756	570302
WBP1LP6	1	610222	610645
OR4F16	1	621059	622053
CICP3	1	657472	660283
RNU6-1199P	1	693613	693716
LINC01409	1	714150	745440
FAM87B	1	752751	755214
LINC00115	1	761586	762902
LINC01128	1	762988	794826
FAM41C	1	803451	812283
TUBB8P11	1	808672	809729
LINC02593	1	852245	856396
SAMD11	1	860260	879955
NOC2L	1	879584	894689
KLHL17	1	895967	901095
PLEKHN1	1	901877	911245
PERM1	1	910579	917497
HES4	1	934342	935552
ISG15	1	948803	949920
AGRN	1	955503	991496
RNF223	1	1006346	1009687
C1orf159	1	1017198	1051741
LINC01342	1	1072397	1079436
MIR200B	1	1102484	1102578
MIR200A	1	1103243	1103332
MIR429	1	1104385	1104467
TTLL10-AS1	1	1108436	1114935
TTLL10	1	1109264	1133315
TNFRSF18	1	1138888	1142071
TNFRSF4	1	1146706	1149518
SDF4	1	1152288	1167411
B3GALT6	1	1167629	1170421
C1QTNF12	1	1177826	1182102
UBE2J2	1	1189289	1209265
LINC01786	1	1210603	1215800
SCNN1D	1	1215816	1227409
ACAP3	1	1227756	1244989
PUSL1	1	1243947	1247057
INTS11	1	1246965	1260071
CPTP	1	1260136	1264277
TAS1R3	1	1266694	1270686
DVL1	1	1270656	1284730
MXRA8	1	1288069	1297157
AURKAIP1	1	1309110	1310875
NDUFB4P8	1	1314046	1314412
CCNL2	1	1321091	1334708
MRPL20-AS1	1	1334902	1337426
MRPL20	1	1337288	1342693
