chrom,chromStart,chromEnd,target
1,2487077,2487106,TNFRSF14_1_CODING
1,2487229,2487700,TNFRSF14_1_CODING
1,2487804,2488172,TNFRSF14_2_CODING
1,2489164,2489273,TNFRSF14_3_CODING
1,2489781,2489907,TNFRSF14_4_CODING
1,2491261,2491417,TNFRSF14_5_CODING
1,2492062,2492153,TNFRSF14_6_CODING
1,2492932,2493254,TNFRSF14_7_CODING
1,2494303,2494335,TNFRSF14_7_CODING
1,2494586,2495268,TNFRSF14_8_CODING
1,8064463,8064618,ERRFI1_3_CODING
1,8071778,8075444,ERRFI1_4_CODING
1,8075554,8075752,ERRFI1_2_CODING
1,8086217,8086368,ERRFI1_1_CODING
1,9711789,9711860,PIK3CD_1_CODING
1,9751524,9751629,PIK3CD_2_CODING
1,9770255,9770338,PIK3CD_1_CODING
1,9770481,9770654,PIK3CD_3_CODING
1,9775598,9775827,PIK3CD_4_CODING
1,9775906,9776136,PIK3CD_5_CODING
1,9776497,9776677,PIK3CD_6_CODING
1,9777016,9777166,PIK3CD_7_CODING
1,9777594,9777684,PIK3CD_8_CODING
1,9778126,9778216,PIK3CD_1_CODING
1,9778751,9778973,PIK3CD_9_CODING
1,9779978,9780075,PIK3CD_10_CODING
1,9780169,9780300,PIK3CD_11_CODING
1,9780491,9780719,PIK3CD_12_CODING
1,9780799,9780967,PIK3CD_13_CODING
1,9781184,9781306,PIK3CD_14_CODING
1,9781501,9781918,PIK3CD_15_CODING
1,9782032,9782211,PIK3CD_17_CODING
1,9782301,9782414,PIK3CD_18_CODING
1,9782585,9782664,PIK3CD_19_CODING
1,9783182,9783350,PIK3CD_20_CODING
1,9784026,9784150,PIK3CD_21_CODING
1,9784333,9784479,PIK3CD_22_CODING
1,9784861,9784994,PIK3CD_23_CODING
1,9786966,9789172,PIK3CD_24_CODING
1,11166591,11167557,MTOR_20_CODING
1,11168237,11168343,MTOR_19_CODING
1,11169346,11169427,MTOR_18_CODING
1,11169705,11169786,MTOR_17_CODING
1,11172908,11172974,MTOR_16_CODING
1,11174374,11174510,MTOR_15_CODING
1,11174869,11174944,MTOR_14_CODING
1,11175452,11175720,MTOR_13_CODING
1,11177060,11177143,MTOR_12_CODING
1,11181302,11181425,MTOR_11_CODING
1,11182035,11182183,MTOR_10_CODING
1,11184554,11184690,MTOR_9_CODING
1,11186678,11186853,MTOR_8_CODING
1,11187066,11187201,MTOR_7_CODING
1,11187680,11187863,MTOR_6_CODING
1,11188060,11188183,MTOR_5_CODING
1,11188510,11188609,MTOR_4_CODING
1,11188911,11189008,MTOR_3_CODING
1,11189794,11189895,MTOR_2_CODING
1,11190585,11191615,MTOR_1_CODING
1,11193136,11193254,MTOR_38_CODING
1,11194407,11194523,MTOR_37_CODING
1,11199360,11199492,MTOR_36_CODING
1,11199589,11199715,MTOR_35_CODING
1,11204704,11204812,MTOR_34_CODING
1,11205024,11205102,MTOR_33_CODING
1,11206732,11206848,MTOR_32_CODING
1,11210182,11210283,MTOR_31_CODING
1,11217208,11217348,MTOR_30_CODING
1,11227498,11227574,MTOR_29_CODING
1,11259314,11259460,MTOR_28_CODING
1,11259597,11259760,MTOR_27_CODING
1,11264617,11264760,MTOR_26_CODING
1,11269368,11269515,MTOR_25_CODING
1,11270870,11270963,MTOR_24_CODING
1,11272368,11272531,MTOR_23_CODING
1,11272852,11272965,MTOR_22_CODING
1,11273455,11273623,MTOR_21_CODING
1,11276204,11276291,MTOR_20_CODING
1,11288724,11288975,MTOR_19_CODING
1,11290981,11291111,MTOR_18_CODING
1,11291356,11291491,MTOR_17_CODING
1,11292492,11292585,MTOR_16_CODING
1,11293454,11293544,MTOR_15_CODING
1,11294199,11294322,MTOR_14_CODING
1,11297899,11298105,MTOR_13_CODING
1,11298458,11298674,MTOR_12_CODING
1,11300359,11300604,MTOR_11_CODING
1,11301609,11301738,MTOR_10_CODING
1,11303170,11303357,MTOR_9_CODING
1,11307681,11307790,MTOR_8_CODING
1,11307875,11308151,MTOR_7_CODING
1,11313895,11314030,MTOR_6_CODING
1,11316048,11316249,MTOR_5_CODING
1,11316989,11317222,MTOR_4_CODING
1,11318541,11318650,MTOR_3_CODING
1,11319304,11319480,MTOR_2_CODING
1,11322501,11322564,MTOR_1_CODING
1,16174358,16174645,SPEN_1_CODING
1,16199310,16199631,SPEN_2_CODING
1,16199996,16200890,SPEN_1_CODING
1,16202696,16203173,SPEN_3_CODING
1,16235815,16235976,SPEN_4_CODING
1,16237595,16237796,SPEN_5_CODING
1,16242622,16242774,SPEN_6_CODING
1,16245420,16245546,SPEN_7_CODING
1,16245898,16246012,SPEN_8_CODING
1,16247364,16247478,SPEN_9_CODING
1,16248743,16248844,SPEN_10_CODING
1,16254585,16262761,SPEN_11_CODING
1,16263657,16264140,SPEN_12_CODING
1,16264306,16264501,SPEN_13_CODING
1,16265212,16265371,SPEN_14_CODING
1,16265790,16266955,SPEN_15_CODING
1,17345216,17345453,SDHB_8_CODING
1,17349102,17349225,SDHB_7_CODING
1,17350467,17350569,SDHB_6_CODING
1,17354243,17354360,SDHB_5_CODING
1,17355094,17355231,SDHB_4_CODING
1,17359554,17359640,SDHB_3_CODING
1,17371255,17371383,SDHB_2_CODING
1,17380442,17380665,SDHB_1_CODING
1,18957499,18958182,PAX7_1_CODING
1,18960796,18961032,PAX7_2_CODING
1,18961604,18961734,PAX7_3_CODING
1,18962730,18962865,PAX7_4_CODING
1,19018247,19018447,PAX7_5_CODING
1,19027146,19027312,PAX7_6_CODING
1,19029587,19029790,PAX7_7_CODING
1,19062125,19062632,PAX7_8_CODING
1,19071307,19075360,PAX7_9_CODING
1,23884408,23884906,ID3_3_CODING
1,23885425,23885510,ID3_2_CODING
1,23885617,23886285,ID3_1_CODING
1,27022523,27024031,ARID1A_1_CODING
1,27054198,27054364,ARID1A_1_CODING
1,27055870,27056354,ARID1A_2_CODING
1,27057642,27058095,ARID1A_3_CODING
1,27059166,27059283,ARID1A_4_CODING
1,27087346,27087587,ARID1A_5_CODING
1,27087874,27087964,ARID1A_6_CODING
1,27088642,27088810,ARID1A_7_CODING
1,27089463,27089776,ARID1A_8_CODING
1,27092711,27092857,ARID1A_9_CODING
1,27092947,27093057,ARID1A_10_CODING
1,27094280,27094490,ARID1A_11_CODING
1,27097609,27097817,ARID1A_12_CODING
1,27098990,27099123,ARID1A_13_CODING
1,27099302,27099478,ARID1A_14_CODING
1,27099836,27099987,ARID1A_15_CODING
1,27100070,27100208,ARID1A_16_CODING
1,27100292,27100389,ARID1A_17_CODING
1,27100819,27101711,ARID1A_18_CODING
1,27102067,27102198,ARID1A_19_CODING
1,27105513,27108595,ARID1A_20_CODING
1,36805224,36809049,STK40_9_CODING
1,36809460,36809580,STK40_8_CODING
1,36809720,36809865,STK40_7_CODING
1,36814300,36814416,STK40_6_CODING
1,36819964,36820017,STK40_5_CODING
1,36820806,36821034,STK40_4_CODING
1,36823839,36823983,STK40_3_CODING
1,36824337,36824438,STK40_2_CODING
1,36826821,36826941,STK40_1_CODING
1,36833448,36833685,STK40_2_CODING
1,36851323,36851497,STK40_1_CODING
1,36931643,36932509,CSF3R_17_CODING
1,36932830,36932912,CSF3R_16_CODING
1,36933158,36933252,CSF3R_15_CODING
1,36933422,36933563,CSF3R_14_CODING
1,36933675,36933822,CSF3R_13_CODING
1,36934756,36934858,CSF3R_12_CODING
1,36935252,36935441,CSF3R_11_CODING
1,36937033,36937247,CSF3R_10_CODING
1,36937666,36937740,CSF3R_9_CODING
1,36937838,36937992,CSF3R_8_CODING
1,36938117,36938287,CSF3R_7_CODING
1,36939035,36939223,CSF3R_6_CODING
1,36939364,36939488,CSF3R_5_CODING
1,36940977,36941274,CSF3R_4_CODING
1,36945032,36945117,CSF3R_3_CODING
1,36945587,36945681,CSF3R_3_CODING
1,36947078,36947138,CSF3R_2_CODING
1,36947379,36947652,CSF3R_1_CODING
1,36948411,36948879,CSF3R_1_CODING
1,40361097,40363642,MYCL_3_CODING
1,40365283,40367687,MYCL_2_CODING
1,40367812,40367928,MYCL_1_CODING
1,43803477,43803598,MPL_1_CODING
1,43803769,43803902,MPL_2_CODING
1,43804212,43804391,MPL_3_CODING
1,43804941,43805240,MPL_4_CODING
1,43805634,43805797,MPL_5_CODING
1,43806057,43806184,MPL_6_CODING
1,43812115,43812300,MPL_7_CODING
1,43812462,43812605,MPL_8_CODING
1,43814513,43814673,MPL_9_CODING
1,43814933,43815208,MPL_10_CODING
1,43817886,43817974,MPL_11_CODING
1,43818188,43818443,MPL_12_CODING
1,45794834,45795109,MUTYH_7_CODING
1,45796187,45796229,MUTYH_6_CODING
1,45796853,45797006,MUTYH_5_CODING
1,45797091,45797228,MUTYH_4_CODING
1,45797332,45797521,MUTYH_13_CODING
1,45797694,45797758,MUTYH_12_CODING
1,45797837,45797982,MUTYH_11_CODING
1,45798062,45798160,MUTYH_10_CODING
1,45798245,45798359,MUTYH_9_CODING
1,45798434,45798506,MUTYH_3_CODING
1,45798589,45798631,MUTYH_7_CODING
1,45798768,45798842,MUTYH_6_CODING
1,45798956,45798996,MUTYH_5_CODING
1,45799084,45799275,MUTYH_4_CODING
1,45800062,45800183,MUTYH_2_CODING
1,45803857,45804328,MUTYH_2_CODING
1,45805570,45805626,MUTYH_1_CODING
1,45805647,45805835,MUTYH_1_CODING
1,45805890,45806142,MUTYH_1_CODING
1,46505811,46509543,PIK3R3_10_CODING
1,46511589,46511760,PIK3R3_9_CODING
1,46512222,46512297,PIK3R3_8_CODING
1,46521466,46521643,PIK3R3_7_CODING
1,46527600,46527743,PIK3R3_6_CODING
1,46531725,46531851,PIK3R3_5_CODING
1,46532582,46532763,PIK3R3_4_CODING
1,46543186,46543285,PIK3R3_3_CODING
1,46546313,46546422,PIK3R3_2_CODING
1,46597382,46597387,PIK3R3_3_CODING
1,46597518,46598314,PIK3R3_1_CODING
1,46598370,46598708,PIK3R3_1_CODING
1,46641899,46642160,PIK3R3_1_CODING
1,46713366,46714080,RAD54L_1_CODING
1,46714183,46714270,RAD54L_2_CODING
1,46715671,46715791,RAD54L_3_CODING
1,46724357,46724418,RAD54L_4_CODING
1,46725635,46725771,RAD54L_5_CODING
1,46726213,46726283,RAD54L_6_CODING
1,46726398,46726687,RAD54L_7_CODING
1,46726932,46727057,RAD54L_8_CODING
1,46733130,46733281,RAD54L_9_CODING
1,46736330,46736457,RAD54L_10_CODING
1,46738137,46738212,RAD54L_11_CODING
1,46738343,46738474,RAD54L_12_CODING
1,46739026,46739137,RAD54L_13_CODING
1,46739295,46739419,RAD54L_14_CODING
1,46739809,46739888,RAD54L_15_CODING
1,46740209,46740389,RAD54L_16_CODING
1,46743488,46743652,RAD54L_17_CODING
1,46743743,46744145,RAD54L_18_CODING
1,51426416,51426475,CDKN2C_1_CODING
1,51433607,51435571,CDKN2C_2_CODING
1,51435615,51436169,CDKN2C_3_CODING
1,51439564,51440305,CDKN2C_4_CODING
1,59246464,59249785,JUN_1_CODING
1,65298911,65300340,JAK1_25_CODING
1,65301078,65301189,JAK1_24_CODING
1,65301780,65301898,JAK1_23_CODING
1,65303614,65303787,JAK1_22_CODING
1,65304147,65304272,JAK1_21_CODING
1,65305285,65305478,JAK1_20_CODING
1,65306927,65307022,JAK1_19_CODING
1,65307133,65307284,JAK1_18_CODING
1,65309746,65309898,JAK1_17_CODING
1,65310436,65310572,JAK1_16_CODING
1,65311195,65311323,JAK1_15_CODING
1,65312331,65312419,JAK1_14_CODING
1,65313214,65313358,JAK1_13_CODING
1,65316486,65316593,JAK1_12_CODING
1,65321191,65321381,JAK1_11_CODING
1,65323338,65323462,JAK1_10_CODING
1,65325787,65325945,JAK1_9_CODING
1,65330469,65330655,JAK1_8_CODING
1,65332548,65332891,JAK1_7_CODING
1,65334993,65335157,JAK1_6_CODING
1,65339052,65339206,JAK1_5_CODING
1,65344707,65344831,JAK1_4_CODING
1,65348959,65349158,JAK1_3_CODING
1,65351941,65352024,JAK1_2_CODING
1,65432015,65432187,JAK1_1_CODING
1,71861622,71873253,NEGR1_7_CODING
1,72058499,72058651,NEGR1_6_CODING
1,72076708,72076829,NEGR1_5_CODING
1,72163690,72163822,NEGR1_4_CODING
1,72241854,72241980,NEGR1_3_CODING
1,72400761,72400994,NEGR1_2_CODING
1,72566427,72566613,NEGR1_1_CODING
1,72748001,72748417,NEGR1_1_CODING
1,78414089,78414599,FUBP1_20_CODING
1,78414839,78414985,FUBP1_19_CODING
1,78420939,78421014,FUBP1_18_CODING
1,78422256,78422385,FUBP1_17_CODING
1,78425868,78425948,FUBP1_16_CODING
1,78426028,78426180,FUBP1_15_CODING
1,78428454,78428615,FUBP1_14_CODING
1,78429258,78429400,FUBP1_13_CODING
1,78429746,78429847,FUBP1_12_CODING
1,78429938,78430041,FUBP1_11_CODING
1,78430330,78430432,FUBP1_10_CODING
1,78430554,78430653,FUBP1_9_CODING
1,78430752,78430915,FUBP1_8_CODING
1,78432377,78432435,FUBP1_7_CODING
1,78432567,78432639,FUBP1_6_CODING
1,78432732,78432785,FUBP1_5_CODING
1,78433310,78433350,FUBP1_4_CODING
1,78433848,78433887,FUBP1_3_CODING
1,78434705,78434768,FUBP1_3_CODING
1,78435608,78435699,FUBP1_2_CODING
1,78444568,78444794,FUBP1_1_CODING
1,85731930,85733665,BCL10_3_CODING
1,85736300,85736589,BCL10_2_CODING
1,85741978,85742773,BCL10_1_CODING
1,115247089,115250671,NRAS_7_CODING
1,115250774,115250813,NRAS_6_CODING
1,115251151,115251275,NRAS_5_CODING
1,115252189,115252349,NRAS_4_CODING
1,115256420,115256599,NRAS_3_CODING
1,115258670,115258798,NRAS_2_CODING
1,115259278,115259515,NRAS_1_CODING
1,117686208,117687847,VTCN1_6_CODING
1,117690234,117690404,VTCN1_5_CODING
1,117695712,117695991,VTCN1_4_CODING
